text,label,revised_category
Senate passes new infrastructure bill with bipartisan support,0,Politics & Government
Ukraine forces advance in eastern front as fighting intensifies,1,War & Conflicts
Man arrested for armed robbery at downtown bank,2,Crime & Justice
Supreme Court hears arguments in major tech antitrust case,3,Law & Legal
Stock market rallies on strong earnings reports,4,Economy & Business
Scientists discover new high-efficiency solar cell material,5,Science & Technology
WHO warns of new disease outbreak in Southeast Asia,6,Health
University announces free tuition for low-income students,7,Education
Hurricane makes landfall causing widespread damage,8,Disasters & Emergencies
Team wins championship in overtime thriller,9,Sports
Arctic ice sheet melts at record rate due to warming,10,Environment & Climate
Government announces new education policy reform,0,Politics & Government
Military operation launches airstrikes on terrorist camps,1,War & Conflicts
Police raid organized crime network across three states,2,Crime & Justice
New environmental regulation targets carbon emissions,10,Environment & Climate
Senate passes new infrastructure bill with bipartisan support,0,Politics & Government
Ukraine forces advance in eastern front as fighting intensifies,1,War & Conflicts
Man arrested for armed robbery at downtown bank,2,Crime & Justice
Supreme Court hears arguments in major tech antitrust case,3,Law & Legal
Stock market rallies on strong earnings reports,4,Economy & Business
Scientists discover new high-efficiency solar cell material,5,Science & Technology
WHO warns of new disease outbreak in Southeast Asia,6,Health
University announces free tuition for low-income students,7,Education
Hurricane makes landfall causing widespread damage,8,Disasters & Emergencies
Team wins championship in overtime thriller,9,Sports
Arctic ice sheet melts at record rate due to warming,10,Environment & Climate
Government announces new education policy reform,0,Politics & Government
Military operation launches airstrikes on terrorist camps,1,War & Conflicts
Police raid organized crime network across three states,2,Crime & Justice
New environmental regulation targets carbon emissions,10,Environment & Climate
Senate passes new infrastructure bill with bipartisan support,0,Politics & Government
Ukraine forces advance in eastern front as fighting intensifies,1,War & Conflicts
Man arrested for armed robbery at downtown bank,2,Crime & Justice
Supreme Court hears arguments in major tech antitrust case,3,Law & Legal
Stock market rallies on strong earnings reports,4,Economy & Business
Scientists discover new high-efficiency solar cell material,5,Science & Technology
WHO warns of new disease outbreak in Southeast Asia,6,Health
University announces free tuition for low-income students,7,Education
Hurricane makes landfall causing widespread damage,8,Disasters & Emergencies
Team wins championship in overtime thriller,9,Sports
Arctic ice sheet melts at record rate due to warming,10,Environment & Climate
Government announces new education policy reform,0,Politics & Government
Military operation launches airstrikes on terrorist camps,1,War & Conflicts
Police raid organized crime network across three states,2,Crime & Justice
New environmental regulation targets carbon emissions,10,Environment & Climate
Senate passes new infrastructure bill with bipartisan support,0,Politics & Government
Ukraine forces advance in eastern front as fighting intensifies,1,War & Conflicts
Man arrested for armed robbery at downtown bank,2,Crime & Justice
Supreme Court hears arguments in major tech antitrust case,3,Law & Legal
Stock market rallies on strong earnings reports,4,Economy & Business
Scientists discover new high-efficiency solar cell material,5,Science & Technology
WHO warns of new disease outbreak in Southeast Asia,6,Health
University announces free tuition for low-income students,7,Education
Hurricane makes landfall causing widespread damage,8,Disasters & Emergencies
Team wins championship in overtime thriller,9,Sports
Arctic ice sheet melts at record rate due to warming,10,Environment & Climate
Government announces new education policy reform,0,Politics & Government
Military operation launches airstrikes on terrorist camps,1,War & Conflicts
Police raid organized crime network across three states,2,Crime & Justice
New environmental regulation targets carbon emissions,10,Environment & Climate
Senate passes new infrastructure bill with bipartisan support,0,Politics & Government
Ukraine forces advance in eastern front as fighting intensifies,1,War & Conflicts
Man arrested for armed robbery at downtown bank,2,Crime & Justice
Supreme Court hears arguments in major tech antitrust case,3,Law & Legal
Stock market rallies on strong earnings reports,4,Economy & Business
Scientists discover new high-efficiency solar cell material,5,Science & Technology
WHO warns of new disease outbreak in Southeast Asia,6,Health
University announces free tuition for low-income students,7,Education
Hurricane makes landfall causing widespread damage,8,Disasters & Emergencies
Team wins championship in overtime thriller,9,Sports
Arctic ice sheet melts at record rate due to warming,10,Environment & Climate
Government announces new education policy reform,0,Politics & Government
Military operation launches airstrikes on terrorist camps,1,War & Conflicts
Police raid organized crime network across three states,2,Crime & Justice
New environmental regulation targets carbon emissions,10,Environment & Climate
Senate passes new infrastructure bill with bipartisan support,0,Politics & Government
Ukraine forces advance in eastern front as fighting intensifies,1,War & Conflicts
Man arrested for armed robbery at downtown bank,2,Crime & Justice
Supreme Court hears arguments in major tech antitrust case,3,Law & Legal
Stock market rallies on strong earnings reports,4,Economy & Business
Scientists discover new high-efficiency solar cell material,5,Science & Technology
WHO warns of new disease outbreak in Southeast Asia,6,Health
University announces free tuition for low-income students,7,Education
Hurricane makes landfall causing widespread damage,8,Disasters & Emergencies
Team wins championship in overtime thriller,9,Sports
Arctic ice sheet melts at record rate due to warming,10,Environment & Climate
Government announces new education policy reform,0,Politics & Government
Military operation launches airstrikes on terrorist camps,1,War & Conflicts
Police raid organized crime network across three states,2,Crime & Justice
New environmental regulation targets carbon emissions,10,Environment & Climate
Senate passes new infrastructure bill with bipartisan support,0,Politics & Government
Ukraine forces advance in eastern front as fighting intensifies,1,War & Conflicts
Man arrested for armed robbery at downtown bank,2,Crime & Justice
Supreme Court hears arguments in major tech antitrust case,3,Law & Legal
Stock market rallies on strong earnings reports,4,Economy & Business
Scientists discover new high-efficiency solar cell material,5,Science & Technology
WHO warns of new disease outbreak in Southeast Asia,6,Health
University announces free tuition for low-income students,7,Education
Hurricane makes landfall causing widespread damage,8,Disasters & Emergencies
Team wins championship in overtime thriller,9,Sports
